# This file is covered under CC0-1.0. See libraries/LICENSE.txt.
file	line	kind	opcode	operand	purpose
standard_4k_ntsc_renderer.s26	585	indirect_pointer	LDA	(vcs_standard_pointer_workspace),y	zero-page pointer and indexed target range are page-sensitive
standard_4k_ntsc_renderer.s26	592	alignment	.align	256	page or offset anchor affecting timing placement
standard_4k_ntsc_renderer.s26	596	indexed_read	LDA	(vcs_standard_pointer_workspace),y	indexed indirect read gains one cycle when effective address crosses a page
standard_4k_ntsc_renderer.s26	596	indirect_pointer	LDA	(vcs_standard_pointer_workspace),y	zero-page pointer and indexed target range are page-sensitive
standard_4k_ntsc_renderer.s26	598	padding	SLEEP	7	explicit cycle padding available for retiming
standard_4k_ntsc_renderer.s26	601	indexed_read	LDA	(vcs_standard_pointer_workspace+$8),y	indexed indirect read gains one cycle when effective address crosses a page
standard_4k_ntsc_renderer.s26	601	indirect_pointer	LDA	(vcs_standard_pointer_workspace+$8),y	zero-page pointer and indexed target range are page-sensitive
standard_4k_ntsc_renderer.s26	603	indexed_read	LDA	(vcs_standard_pointer_workspace+$6),y	indexed indirect read gains one cycle when effective address crosses a page
standard_4k_ntsc_renderer.s26	603	indirect_pointer	LDA	(vcs_standard_pointer_workspace+$6),y	zero-page pointer and indexed target range are page-sensitive
standard_4k_ntsc_renderer.s26	605	indexed_read	LDA	(vcs_standard_pointer_workspace+$2),y	indexed indirect read gains one cycle when effective address crosses a page
standard_4k_ntsc_renderer.s26	605	indirect_pointer	LDA	(vcs_standard_pointer_workspace+$2),y	zero-page pointer and indexed target range are page-sensitive
standard_4k_ntsc_renderer.s26	608	indexed_read	LDA	(vcs_standard_pointer_workspace+$4),y	indexed indirect read gains one cycle when effective address crosses a page
standard_4k_ntsc_renderer.s26	608	indirect_pointer	LDA	(vcs_standard_pointer_workspace+$4),y	zero-page pointer and indexed target range are page-sensitive
standard_4k_ntsc_renderer.s26	610	padding	SLEEP	5	explicit cycle padding available for retiming
standard_4k_ntsc_renderer.s26	612	indexed_read	LDA	(vcs_standard_pointer_workspace+$A),y	indexed indirect read gains one cycle when effective address crosses a page
standard_4k_ntsc_renderer.s26	612	indirect_pointer	LDA	(vcs_standard_pointer_workspace+$A),y	zero-page pointer and indexed target range are page-sensitive
standard_4k_ntsc_renderer.s26	619	relative_branch	BPL	@loop2	taken branch gains one cycle if source and target pages differ
standard_4k_ntsc_renderer.s26	653	alignment	.align	256	page or offset anchor affecting timing placement
standard_4k_ntsc_renderer.s26	655	segment	.segment	RENDERER_RODATA	linker placement range
standard_4k_ntsc_renderer.s26	768	segment	.segment	CODE	linker placement range
standard_4k_ntsc_renderer.s26	785	relative_branch	BCC	@clear	taken branch gains one cycle if source and target pages differ
standard_4k_ntsc_renderer.s26	850	relative_branch	BCS	@final_player1_zero	taken branch gains one cycle if source and target pages differ
standard_4k_ntsc_renderer.s26	851	indexed_read	LDA	(vcs_standard_player1_graphics),y	indexed indirect read gains one cycle when effective address crosses a page
standard_4k_ntsc_renderer.s26	851	indirect_pointer	LDA	(vcs_standard_player1_graphics),y	zero-page pointer and indexed target range are page-sensitive
standard_4k_ntsc_renderer.s26	870	relative_branch	BCS	@final_player0_zero	taken branch gains one cycle if source and target pages differ
standard_4k_ntsc_renderer.s26	871	indexed_read	LDA	(vcs_standard_player0_graphics),y	indexed indirect read gains one cycle when effective address crosses a page
standard_4k_ntsc_renderer.s26	871	indirect_pointer	LDA	(vcs_standard_player0_graphics),y	zero-page pointer and indexed target range are page-sensitive
standard_4k_ntsc_renderer.s26	895	relative_branch	BCC	@no_wrap	taken branch gains one cycle if source and target pages differ
standard_4k_ntsc_renderer.s26	896	relative_branch	BEQ	@no_wrap	taken branch gains one cycle if source and target pages differ
standard_4k_ntsc_renderer.s26	899	relative_branch	BEQ	@wrapped_high	taken branch gains one cycle if source and target pages differ
standard_4k_ntsc_renderer.s26	901	relative_branch	BCC	@wrapped_low_ready	taken branch gains one cycle if source and target pages differ
standard_4k_ntsc_renderer.s26	902	relative_branch	BEQ	@wrapped_low_ready	taken branch gains one cycle if source and target pages differ
standard_4k_ntsc_renderer.s26	913	relative_branch	BCC	@wrapped_high_ready	taken branch gains one cycle if source and target pages differ
standard_4k_ntsc_renderer.s26	914	relative_branch	BEQ	@wrapped_high_ready	taken branch gains one cycle if source and target pages differ
standard_4k_ntsc_renderer.s26	925	relative_branch	BNE	@no_wrap_first_ready	taken branch gains one cycle if source and target pages differ
standard_4k_ntsc_renderer.s26	931	relative_branch	BCC	@no_wrap_last_ready	taken branch gains one cycle if source and target pages differ
standard_4k_ntsc_renderer.s26	932	relative_branch	BEQ	@no_wrap_last_ready	taken branch gains one cycle if source and target pages differ
standard_4k_ntsc_renderer.s26	938	relative_branch	BCC	@set_range	taken branch gains one cycle if source and target pages differ
standard_4k_ntsc_renderer.s26	939	relative_branch	BEQ	@set_range	taken branch gains one cycle if source and target pages differ
standard_4k_ntsc_renderer.s26	949	indexed_read	LDA	@start_bits,x	indexed read may gain one cycle when effective address crosses a page
standard_4k_ntsc_renderer.s26	963	indexed_read	LDA	@end_bits,x	indexed read may gain one cycle when effective address crosses a page
standard_4k_ntsc_renderer.s26	979	relative_branch	BNE	@range_many	taken branch gains one cycle if source and target pages differ
standard_4k_ntsc_renderer.s26	982	indexed_read	ORA	vcs_standard_object_masks,x	indexed read may gain one cycle when effective address crosses a page
standard_4k_ntsc_renderer.s26	987	indexed_read	LDA	vcs_standard_object_masks,x	indexed read may gain one cycle when effective address crosses a page
standard_4k_ntsc_renderer.s26	994	relative_branch	BCS	@range_last	taken branch gains one cycle if source and target pages differ
standard_4k_ntsc_renderer.s26	1008	indexed_read	LDA	vcs_standard_object_masks,x	indexed read may gain one cycle when effective address crosses a page
standard_4k_ntsc_renderer.s26	1019	segment	.segment	CODE	linker placement range
